"","ranking","title","desc","runtime","genre","rating","vote","director","actor","metascore","revenue"
"783",783,"Funny Cow","A woman who has a funny bone for a backbone.",102,"Comedy",8,20,"Adrian Shergold","Stephen Graham",NA,0
"784",784,"Branded","In this post-apocalyptic-western, Alexander Dante has lived the past 10 years in exile for the killing of Edwin, his beloved brother. Then one day he's astounded to receive a letter, ...                See full summary<U+00A0><U+00BB>",73,"Drama",2.7,13,"Phil Gorn","Jeremy London",NA,0
"785",785,"The Covenant","After the tragic deaths of her husband and daughter, Sarah Doyle moves back to her childhood home with her estranged brother, Richard. It's not long before Sarah begins to experience ...                See full summary<U+00A0><U+00BB>",90,"Horror",3.3,389,"Robert Conway","Monica Engesser",NA,0
"786",786,"B&B","Gay Londoners Marc and Fred plan for a weekend of mischief, baiting the Christian owner of a remote Christian B&B. Events take a deadly turn when another guest arrives, who they think might have something more sinister in mind.",87,"Thriller",7.1,27,"Joe Ahearne","Sean Teale",NA,0
"787",787,"Desire","Luc<U+00ED>a and Ofelia, two sisters, finally meet after 7 years of cold relationships upon Lucia 's wedding. But when Juan, Lucia's husband, and Ofelia meet, they feel like a disruptive fantasy have enchanted their minds and bodies...",90,"Drama",5.7,31,"Diego Kaplan","Carolina Ardohain",NA,0
"788",788,"Ali's Wedding","After a ""white lie"" which spirals out of control, a neurotic, naive and musically gifted Muslim cleric's eldest son must follow through with an arranged marriage, except he is madly in love with an Australian born-Lebanese girl.",110,"Comedy",7.3,204,"Jeffrey Walker","Osamah Sami",NA,0
"789",789,"The Breadwinner","A headstrong young girl in Afghanistan disguises herself as a boy in order to provide for her family.",94,"Animation",7.8,59,"Nora Twomey","Saara Chaudry",NA,0
"790",790,"Zhong guo tui xiao yuan","Yan Jian, a young Chinese IT engineer who volunteers to go to North Africa and help the company he works for to win a competition. The winner can own the right to control the communication ...                See full summary<U+00A0><U+00BB>",110,"Action",6.2,29,"Tan Bing","Dong-xue Li",NA,0
"791",791,"Darkness Rising","A woman and her friends break into her abandoned childhood home, where her mother went mad and nearly murdered as a child.",81,"Horror",3.3,460,"Austin Reading","Tara Holt",NA,0
"792",792,"Diamond Cartel","The charismatic and ruthless Mussa makes a deal to purchase the Star of East Diamond from the Hong-Kong triad crime boss Mr. Lo - but not before being robbed via an inside job by his own ...                See full summary<U+00A0><U+00BB>",100,"Action",3,300,"Salamat Mukhammed-Ali","Armand Assante",NA,0
"793",793,"Ammore e malavita","        Add a Plot",133,"Comedy",7.2,104,"Antonio Manetti","Tia Architto",NA,0
"794",794,"The Rizen","The year is 1955. NATO and the Allied Forces have been conducting secret, occult experiments in a bid to win the Arms Race. Now, they have finally succeeded but what the Army has unleashed ...                See full summary<U+00A0><U+00BB>",94,"Action",4.3,92,"Matt Mitchell","Sally Phillips",NA,0
"795",795,"Unbelievable!!!!!",NA,105,"Comedy",NA,NA,"See full summary","Dina Meyer",NA,0
"796",796,"Bad Blood","Carrie is in love with her new fianc<U+00E9> Vincent, a handsome and successful author. Vincent is besotted with Carrie, she's everything he's ever dreamed of. However, he's harbouring a dark ...                See full summary<U+00A0><U+00BB>",90,"Thriller",6.6,5,"David Pulbrook","Xavier Samuel",NA,0
"797",797,"Final Score",NA,NA,"Action",NA,NA,"Scott Mann","Dave Bautista",NA,0
"798",798,"Spider-Man 2: Another World",NA,90,"Sci-Fi",NA,NA,"Add a Plot","Kevin Mangar",NA,0
