"","ranking","title","desc","runtime","genre","rating","vote","director","actor","metascore","revenue"
"84",84,"Loving Vincent","The world's first fully oil painted feature film, brings the artwork of Vincent van Gogh to life in an exploration of the complicated life and controversial death of one of history's most celebrated artists.",94,"Animation",8,1522,"Dorota Kobiela","Douglas Booth",62,0
"85",85,"Our Souls at Night","Fonda and Redford will star as Addie Moore and Louis Waters, a widow and widower who've lived next to each other for years. The pair have almost no relationship, but that all changes when Addie tries to make a connection with her neighbor.",103,"Drama",7,2520,"Ritesh Batra","Jane Fonda",69,0
"86",86,"The Killing of a Sacred Deer","Steven, a charismatic surgeon, is forced to make an unthinkable sacrifice after his life starts to fall apart, when the behavior of a teenage boy he has taken under his wing turns sinister.",121,"Drama",8.1,1597,"Yorgos Lanthimos","Nicole Kidman",83,0
"87",87,"Jumanji: Welcome to the Jungle",NA,NA,"Action",NA,NA,"Jake Kasdan","Dwayne Johnson",NA,0
"88",88,"Wish Upon","A teenage girl discovers a box that carries magic powers and a deadly price for using them.",90,"Fantasy",5,5123,"John R. Leonetti","Joey King",32,14.05
"89",89,"Captain Underpants: The First Epic Movie","Two overly imaginative pranksters named George and Harold hypnotize their principal into thinking he's a ridiculously enthusiastic, incredibly dimwitted superhero named Captain Underpants.",89,"Animation",6.2,10982,"David Soren","Kevin Hart",69,71.16
"90",90,"Roman J Israel, Esq.","Denzel Washington stars as Roman Israel, a driven, idealistic defense attorney who, through a tumultuous series of events, finds himself in a crisis that leads to extreme action.",129,"Crime",5.8,151,"Dan Gilroy","Denzel Washington",64,0
"91",91,"The Fate of the Furious","When a mysterious woman seduces Dom into the world of terrorism and a betrayal of those closest to him, the crew face trials that will test them as never before.",136,"Action",6.8,138582,"F. Gary Gray","Vin Diesel",56,225.76
"92",92,"Valerian and the City of a Thousand Planets","A dark force threatens Alpha, a vast metropolis and home to species from a thousand planets. Special operatives Valerian and Laureline must race to identify the marauding menace and safeguard not just Alpha, but the future of the universe.",137,"Action",6.7,41471,"Luc Besson","Dane DeHaan",51,39.27
"93",93,"The Circle","A woman lands a dream job at a powerful tech company called the Circle, only to uncover an agenda that will affect the lives of all of humanity.",110,"Drama",5.3,43014,"James Ponsoldt","Emma Watson",43,20.48
"94",94,"Life","A team of scientists aboard the International Space Station discover a rapidly evolving life form that caused extinction on Mars and now threatens all life on Earth.",104,"Horror",6.6,126930,"Daniel Espinosa","Jake Gyllenhaal",54,30.18
"95",95,"Stronger","Stronger is the inspiring real life story of Jeff Bauman, an ordinary man who captured the hearts of his city and the world to become a symbol of hope after surviving the 2013 Boston Marathon bombing.",119,"Biography",7.5,2403,"David Gordon Green","Jake Gyllenhaal",76,0
"96",96,"Rough Night","Things go terribly wrong for a group of girlfriends who hire a male stripper for a bachelorette party in Miami.",101,"Comedy",5.2,20225,"Lucia Aniello","Scarlett Johansson",51,22.06
"97",97,"John Wick: Chapter 2","After returning to the criminal underworld to repay a debt, John Wick discovers that a large bounty has been put on his life.",122,"Action",7.6,188421,"Chad Stahelski","Keanu Reeves",75,92.03
"98",98,"The Disaster Artist","A behind-the-scenes look at the making of Tommy Wiseau's The Room (2003).",103,"Biography",7.9,1268,"James Franco","Zoey Deutch",77,0
"99",99,"Tyler Perry's Boo 2! A Madea Halloween",NA,NA,"Comedy",NA,NA,"Tyler Perry","Tyler Perry",NA,0
"100",100,"Kidnap","A mother stops at nothing to recover her kidnapped son.",95,"Thriller",5.9,15974,"Luis Prieto","Halle Berry",44,30.54
"101",101,"Gifted","Frank, a single man raising his child prodigy niece Mary, is drawn into a custody battle with his mother.",101,"Drama",7.6,47008,"Marc Webb","Chris Evans",60,24.8
"102",102,"Death Note","A high school student named, Light Turner, discovers a mysterious notebook that has the power to kill anyone whose name is written within its pages and launches a secret crusade to rid the world of criminals.",101,"Adventure",4.6,47055,"Adam Wingard","Nat Wolff",43,0
"103",103,"Logan Lucky","Two brothers attempt to pull off a heist during a NASCAR race in North Carolina.",118,"Comedy",7.3,19358,"Steven Soderbergh","Channing Tatum",78,7.6
"104",104,"Ghost in the Shell","In the near future, Major is the first of her kind: A human saved from a terrible crash, who is cyber-enhanced to be a perfect soldier devoted to stopping the world's most dangerous criminals.",107,"Action",6.4,124444,"Rupert Sanders","Scarlett Johansson",52,40.53
"105",105,"The Layover","Two friends on a road trip compete for the affections of a handsome man when their flight is redirected due to a hurricane.",88,"Comedy",4.7,3582,"William H. Macy","Kate Upton",15,0
"106",106,"Shot Caller","A newly released prison gangster is forced by the leaders of his gang to orchestrate a major crime with a brutal rival gang on the streets of Southern California.",121,"Crime",7.4,26993,"Ric Roman Waugh","Jon Bernthal",59,0
"107",107,"Thank You for Your Service","A group of U.S. soldiers returning from Iraq struggles to integrate back into family and civilian life, while living with the memory of a war that threatens to destroy them long after they've left the battlefield.",108,"Biography",7.2,44,"Jason Hall","Haley Bennett",NA,0
"108",108,"Wonder",NA,113,"Drama",NA,NA,"Stephen Chbosky","Julia Roberts",NA,0
"109",109,"Kong: Skull Island","A team of scientists explore an uncharted island in the Pacific, venturing into the domain of the mighty Kong, and must fight to escape a primal Eden.",118,"Action",6.7,167609,"Jordan Vogt-Roberts","Tom Hiddleston",62,168.05
"110",110,"My Friend Dahmer","Before Jeffrey Dahmer became a notorious serial killer, he was a shy, alcoholic teen who never quite fit in. Based on the acclaimed graphic novel by Derf Backderf, this is the true, haunting story of Jeffrey Dahmer in high school.",107,"Biography",6.6,394,"Marc Meyers","Anne Heche",NA,0
"111",111,"Fifty Shades Darker","While Christian wrestles with his inner demons, Anastasia must confront the anger and envy of the women who came before her.",118,"Drama",4.6,57189,"James Foley","Dakota Johnson",33,114.38
"112",112,"The Little Hours","In the Middle Ages, a young servant fleeing from his master takes refuge at a convent full of emotionally unstable nuns. Introduced as a deaf mute man, he must fight to hold his cover as the nuns try to resist temptation.",90,"Comedy",6,4495,"Jeff Baena","Alison Brie",69,0
"113",113,"T2 Trainspotting","After 20 years abroad, Mark Renton returns to Scotland and reunites with his old friends Sick Boy, Spud, and Begbie.",117,"Drama",7.3,65662,"Danny Boyle","Ewan McGregor",67,2.4
"114",114,"A Bad Moms Christmas",NA,NA,"Action",NA,NA,"Jon Lucas","Kristen Bell",NA,0
"115",115,"Gotti",NA,NA,"Biography",NA,NA,"Kevin Connolly","John Travolta",NA,0
"116",116,"Darkest Hour","During the early days of World War II, the fate of Western Europe hangs on the newly-appointed British Prime Minister Winston Churchill, who must decide whether to negotiate with Hitler, or fight on against incredible odds.",125,"Biography",5.4,770,"Joe Wright","Lily James",72,0
